Country,1951,1961,1971,1981,1991,2001,2011,2021,1951_,1961_,1971_,1981_,1991_,2001_,2011_,2021_
France,42033000,45888000,50747000,53866000,56532000,58836000,62616000,64502000,76.5,83.7,92.4,98,102.7,107,113.9,117
French Guiana,24000,32000,47000,68000,116000,168000,231000,294000,0.3,0.4,0.6,0.8,1.4,2.1,2.8,3.6
French Polynesia,65000,86000,120000,166000,213000,253000,285000,303000,18,23.6,33.1,45.8,58.5,69.2,77.4,82.5
Gabon,474000,516000,603000,759000,996000,1289000,1741000,2317000,1.8,2,2.4,3,3.9,5.1,6.9,9.1
Gambia,311000,405000,536000,731000,1062000,1458000,1967000,2607000,31.1,40.6,53.8,73.4,107.1,146.2,197.5,260.9
Georgia,3537000,4088000,4821000,5163000,5359000,4199000,3830000,3763000,51.2,59.4,69.6,74.6,76.6,59.6,55,54.1
Germany,70850000,73310000,78416000,77730000,79597000,81542000,81367000,83390000,203.2,211.2,225.2,222.9,228.9,233.9,233.6,239.3
Ghana,5146000,7024000,8984000,12035000,15647000,19919000,25885000,32512000,22.9,31.2,40,53.7,69.6,88.8,115.2,144.3
Gibraltar,21000,22000,27000,29000,27000,28000,31000,33000,2108.8,2190.7,2706.9,2881.9,2698.8,2772.1,3170.2,3267
Greece,7718000,8515000,8558000,9364000,10347000,11057000,11022000,10481000,59.4,65.2,65.6,72,79.4,84.6,84.1,79.8
Greenland,23000,33000,46000,50000,56000,56000,56000,56000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Grenada,77000,95000,99000,95000,99000,108000,114000,124000,227.7,279.7,289.8,280.1,293.4,317.5,338,366.5
Guadeloupe,216000,281000,319000,335000,395000,423000,403000,396000,134.4,174.4,196.5,206.2,243.9,258.7,247.6,243.3
Guam,61000,73000,89000,112000,140000,161000,165000,170000,114.5,136.5,167.3,209.3,260.1,298.6,306.2,315.2
Guatemala,3141000,4158000,5526000,7076000,9209000,11869000,14687000,17494000,29.7,39.4,52.2,66.9,87.1,112.1,138.4,164.3
Guernsey,45000,47000,53000,53000,58000,59000,61000,63000,692.9,736.8,829.6,826.9,909.2,926.4,952.8,985.4
Guinea,3008000,3547000,4261000,5018000,6492000,8411000,10398000,13369000,12.3,14.6,17.5,20.6,26.9,34.4,42.8,55.1
Guinea-Bissau,547000,579000,597000,838000,981000,1244000,1588000,2038000,19.5,20.7,21.1,30,35.3,44.7,57.2,73.3
Guyana,423000,580000,710000,779000,744000,759000,746000,803000,2.2,3,3.6,4,3.8,3.9,3.8,4.1
Haiti,3274000,3938000,4723000,5702000,6996000,8437000,9877000,11379000,119.8,144.2,172.9,208.9,256.3,308.7,361.1,415.2
Honduras,1580000,2109000,2824000,3836000,5124000,6747000,8537000,10202000,14.7,19.6,26.3,35.7,47.6,62.7,79.1,94.2
Hungary,9383000,10004000,10331000,10691000,10375000,10191000,9973000,9731000,104.1,110.7,114.3,118,114.6,112.4,109.9,107.3
Iceland,144000,177000,205000,229000,256000,284000,319000,369000,1.5,1.8,2.1,2.3,2.6,2.8,3.2,3.7
India,360938000,451081000,563697000,704782000,879700000,1069256000,1249142000,1402808000,122.7,153.5,191.7,239.8,299,362.9,423,473.4
Indonesia,70272000,89577000,116779000,149928000,183751000,215601000,245534000,272890000,37.2,47.5,61.9,79.4,97,113.6,129.3,143.3
Iran,17025000,21679000,28860000,39197000,57178000,66109000,75914000,87590000,10.6,13.5,18,24.9,35.6,40.9,46.9,54
Iraq,5716000,7165000,9982000,13870000,17617000,25042000,31763000,43071000,13.3,16.7,23.4,32.4,41.1,58.6,74.6,100.3
Ireland,2914000,2806000,2949000,3410000,3492000,3796000,4535000,4967000,42.8,41.1,43.4,50.1,51.3,56,66.5,72.9
Isle of Man,55000,48000,56000,64000,69000,76000,84000,84000,95.2,84.7,98.7,112.9,122,133.6,147.5,147.3
Israel,1310000,1942000,2964000,3780000,4873000,6178000,7394000,8829000,61.8,91.6,139.5,176.4,228.4,288.2,344.7,411.2
Italy,46609000,49655000,53477000,56500000,56780000,56982000,59949000,59361000,158,168.3,181.2,191,191.9,192.6,202.8,200.2
Jamaica,1430000,1653000,1872000,2151000,2401000,2619000,2740000,2826000,133.7,153.6,174.2,200.1,222.7,242.4,253.6,261.1
Japan,85050000,94906000,106085000,118028000,123879000,126943000,128079000,124947000,227.4,253.1,283.4,314.2,329.3,337.2,339.7,330.7
Jersey,57000,63000,69000,75000,83000,86000,97000,109000,495.1,543.7,595.4,651.6,718.7,747.9,834.8,945
Jordan,453000,870000,1600000,2259000,3570000,5109000,7020000,11040000,5.3,10,18.4,26,41.3,58.1,80.1,125.6
Kazakhstan,6771000,9479000,12364000,14282000,16934000,15256000,16747000,19097000,2.6,3.6,4.6,5.3,6.3,5.7,6.2,7.1
Kenya,5836000,7894000,11690000,16480000,23553000,31306000,42086000,52511000,10.2,13.9,20.5,28.9,41.2,54.8,73.4,91.3
Kiribati,38000,48000,58000,61000,76000,90000,109000,128000,53.2,66.5,80.6,85.2,105.5,124.7,151.3,177.5
Kosovo,778000,1002000,1252000,1610000,1983000,1830000,1790000,1666000,72.4,93,116.2,149.3,183.6,168.8,165,152.4
Kuwait,156000,322000,831000,1534000,1099000,1964000,3019000,4253000,8.9,19.1,48.2,88.3,75.2,111.8,176.4,238.5
Kyrgyzstan,1769000,2252000,3054000,3727000,4425000,4959000,5515000,6477000,9.3,11.9,16.1,19.6,23.2,26,28.9,34
Laos,1705000,2146000,2707000,3332000,4375000,5476000,6370000,7373000,7.5,9.4,11.9,14.6,19.2,23.9,27.8,32.2
Latvia,1934000,2168000,2408000,2580000,2686000,2376000,2089000,1887000,31.3,35.1,38.9,41.6,43.1,37.9,33.4,30.1
Lebanon,1369000,1824000,2410000,2996000,3626000,4355000,5009000,5631000,135.7,181.2,238.7,295.9,358.4,429.1,493.2,546.7
Lesotho,584000,749000,1041000,1427000,1815000,2000000,2030000,2269000,19.4,25.1,34.9,47.7,60.3,65.9,67.1,75.1
Liberia,924000,1151000,1483000,1961000,1878000,2935000,4078000,5141000,9.7,12.1,15.6,20.7,20.1,31,43.4,53.9
Libya,1136000,1452000,1933000,3036000,4290000,5213000,6559000,6696000,0.7,0.9,1.2,1.9,2.6,3.1,3.7,4
Liechtenstein,14000,17000,21000,25000,29000,33000,36000,39000,87.5,105.2,134.5,158.4,182.3,208.6,226.2,244
Lithuania,2577000,2896000,3227000,3536000,3791000,3582000,3119000,2805000,41.3,46.6,51.8,56.7,60.6,56.9,49.5,44.5
Luxembourg,297000,315000,340000,364000,384000,439000,512000,635000,115.1,122.2,132,140.7,149.2,170.4,200.1,246.8
Madagascar,4002000,5139000,6737000,9077000,12060000,16460000,22039000,28571000,7,8.9,11.8,15.8,21,28.7,38.4,49.7
Malawi,2974000,3664000,4682000,6390000,9697000,11360000,14930000,19633000,31.7,39.2,50.2,69,104,121.6,160.2,210.4
Malaysia,6044000,7952000,10430000,13389000,17767000,23243000,28947000,33396000,18.6,24.6,32.1,41.3,54.8,71.7,88.8,102.2
Maldives,75000,93000,125000,167000,229000,285000,368000,518000,252.7,313.2,423.6,565.5,773.8,957.7,1248.1,1738.2
Mali,4728000,5383000,6201000,7452000,9034000,11405000,15782000,21561000,3.9,4.4,5.1,6.2,7.5,9.5,13.1,18
Malta,295000,338000,315000,335000,367000,401000,421000,521000,946.6,1070.2,1000.3,1068.6,1170.4,1276.7,1344.7,1672.2
Marshall Islands,13000,16000,24000,33000,47000,54000,53000,43000,74,88.2,137.1,184.6,261.4,302.3,294.3,233.6
Martinique,235000,293000,327000,334000,377000,431000,391000,370000,224.1,279,308.6,315.8,359.4,405,367.6,347.9
Mauritania,666000,850000,1139000,1529000,2036000,2733000,3470000,4556000,0.7,0.8,1.1,1.5,2,2.7,3.4,4.5
Mauritius,533000,685000,836000,962000,1097000,1221000,1285000,1299000,266.3,341.5,415,477.7,544,603.6,633.6,639.9
Mayotte,21000,27000,36000,54000,95000,163000,215000,311000,55.9,71.7,97.5,146.8,262.5,441.9,579.7,842.7
Mexico,27969000,36832000,51085000,68520000,82540000,98635000,113331000,126386000,14.5,19.1,26.5,35.3,42.5,50.7,58.3,64.7
Micronesia (Fed. States of),32000,44000,60000,77000,100000,112000,108000,113000,46.9,63.7,86.7,112.2,143.5,159.9,154.1,161.6
Monaco,20000,22000,24000,27000,30000,32000,34000,37000,13356,14702.7,16516.8,18311.4,20512.8,21774.2,22781.9,24621.5
